id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,Proto
34054200,"Lightful flat, close to city center, quality bed",23350766,Johan,M,Borgerhout Intra Muros Noord,51.21523,4.43384,Private room,45,1,77,2021-11-07,2.38,2,70,15,M,Haha
34249814,202、Antwerp central station's charming apartment,52106350,Jackie,M,Amandus - Atheneum,51.21901,4.42465,Entire home/apt,152,2,34,2021-11-28,1.1,6,336,9,M,Haha
34264095,"A spacious, renovated appartment!",162427935,Nalini,M,Brederode,51.20636,4.39672,Private room,40,2,5,2019-09-24,0.16,1,31,0,M,Haha
34294000,Penthouse@ThePark,258917576,Jan,M,Borgerhout Extra Muros,51.21899,4.45437,Entire home/apt,66,2,67,2021-12-19,2.11,1,50,17,M,Haha
34309044,"Feel home in Antwerp, 5-star location + view",182678477,Driss,M,Theaterbuurt-Meir,51.21322,4.4092,Entire home/apt,85,1,43,2021-12-23,1.36,8,315,19,M,Haha
34330577,Quiet & cozy appartement in the HEART of the city!,69060903,Camilla,M,Historisch Centrum,51.22258,4.40126,Entire home/apt,65,2,91,2021-10-10,3.86,1,0,36,M,Haha
34356118,Penthouse of medieval home with rooftop terrace,40206364,Eva & Mark,M,Historisch Centrum,51.22018,4.40271,Entire home/apt,93,2,97,2021-12-11,3.17,1,220,46,M,Haha
34418859,Bright and modern studio apartment.,66219121,Anke,M,Kiel,51.1867,4.38898,Entire home/apt,42,6,14,2021-12-15,0.47,1,236,6,M,Haha
34522632,Tweepersoonskamer voor single gebruik,216540655,Corbie Hotels,M,Historisch Centrum,51.21915,4.40169,Hotel room,88,1,0,M,M,1,365,0,M,Haha
34621717,"Spacious apartment with garden, South of Antwerp",23540290,Sofie,M,Markgrave,51.19893,4.40269,Entire home/apt,74,2,39,2021-12-15,1.27,1,2,16,M,Haha
34649600,Trendy spacious white central city studio for4,211790109,Yaya,M,Amandus - Atheneum,51.22083,4.41877,Entire home/apt,75,20,103,2021-11-29,3.24,3,353,25,M,Haha
34664955,Luxe appartement in old theatre with huge terras,70552738,Michael,M,Historisch Centrum,51.2263,4.40264,Entire home/apt,300,1,19,2021-11-01,0.65,1,177,7,M,Haha
34706153,Penthouse in Antwerp city center,261770331,Guy & Inge,M,Harmonie,51.20993,4.40588,Entire home/apt,205,2,23,2021-09-17,0.78,1,174,5,M,Haha
34729342,studio met tropische tuin,125046836,Dana,M,Nieuw - Zuid,51.20451,4.38846,Private room,50,2,26,2021-11-14,0.88,1,362,11,M,Haha
